Date,Open,High,Low,Close,Volume
1980-12-12 05:00:00,0.0988345,0.0992642,0.0988345,0.0988345,469033600
1980-12-15 05:00:00,0.0941079,0.0941079,0.0936782,0.0936782,175884800
1980-12-16 05:00:00,0.0872321,0.0872321,0.0868024,0.0868024,105728000
1980-12-17 05:00:00,0.0889508,0.0893805,0.0889508,0.0889508,86441600
1980-12-18 05:00:00,0.0915298,0.0919594,0.0915298,0.0915298,73449600
1980-12-19 05:00:00,0.0971157,0.0975454,0.0971157,0.0971157,48630400
1980-12-22 05:00:00,0.1018423,0.1022728,0.1018423,0.1018423,37363200
1980-12-23 05:00:00,0.1061399,0.1065696,0.1061399,0.1061399,46950400
1980-12-24 05:00:00,0.1117259,0.1121556,0.1117259,0.1117259,48003200
1980-12-26 05:00:00,0.1220392,0.1224689,0.1220392,0.1220392,55574400
1980-12-29 05:00:00,0.1237579,0.1241876,0.1237579,0.1237579,93161600
1980-12-30 05:00:00,0.1211798,0.1211798,0.1207501,0.1207501,68880000
1980-12-31 05:00:00,0.1177422,0.1177422,0.1173125,0.1173125,35750400
1981-01-02 05:00:00,0.1186016,0.1194610,0.1186016,0.1186016,21660800
1981-01-05 05:00:00,0.1164532,0.1164532,0.1160235,0.1160235,35728000
1981-01-06 05:00:00,0.1112962,0.1112962,0.1108665,0.1108665,45158400
1981-01-07 05:00:00,0.1065696,0.1065696,0.1061399,0.1061399,55686400
1981-01-08 05:00:00,0.1044212,0.1044212,0.1039915,0.1039915,39827200
1981-01-09 05:00:00,0.1095774,0.1100071,0.1095774,0.1095774,21504000
1981-01-12 05:00:00,0.1095774,0.1095774,0.1087181,0.1087181,23699200
1981-01-13 05:00:00,0.1052806,0.1052806,0.1048509,0.1048509,23049600
1981-01-14 05:00:00,0.1052806,0.1057103,0.1052806,0.1052806,14291200
1981-01-15 05:00:00,0.1074290,0.1082884,0.1074290,0.1074290,14067200
1981-01-16 05:00:00,0.1069993,0.1069993,0.1065696,0.1065696,13395200
1981-01-19 05:00:00,0.1130149,0.1134446,0.1130149,0.1130149,41574400
1981-01-20 05:00:00,0.1100071,0.1100071,0.1095774,0.1095774,30083200
1981-01-21 05:00:00,0.1117259,0.1125852,0.1117259,0.1117259,15904000
1981-01-22 05:00:00,0.1130149,0.1138743,0.1130149,0.1130149,35548800
1981-01-23 05:00:00,0.1130149,0.1134446,0.1125852,0.1125852,11222400
1981-01-26 05:00:00,0.1112962,0.1112962,0.1108665,0.1108665,24640000
1981-01-27 05:00:00,0.1108665,0.1108665,0.1100072,0.1100072,23699200
1981-01-28 05:00:00,0.1069993,0.1069993,0.1065696,0.1065696,28156800
1981-01-29 05:00:00,0.1031321,0.1031321,0.1027024,0.1027024,43904000
1981-01-30 05:00:00,0.0979751,0.0979751,0.0971157,0.0971157,46188800
1981-02-02 05:00:00,0.0919594,0.0919594,0.0915298,0.0915298,23766400
1981-02-03 05:00:00,0.0949673,0.0953970,0.0949673,0.0949673,19152000
1981-02-04 05:00:00,0.0984048,0.0988344,0.0984048,0.0984048,27865600
1981-02-05 05:00:00,0.0984048,0.0992641,0.0984048,0.0984048,7929600
1981-02-06 05:00:00,0.0988345,0.0992642,0.0988345,0.0988345,13865600
1981-02-09 05:00:00,0.0945376,0.0945376,0.0936782,0.0936782,16755200
1981-02-10 05:00:00,0.0936782,0.0941079,0.0936782,0.0936782,18345600
1981-02-11 05:00:00,0.0911001,0.0911001,0.0906704,0.0906704,13843200
1981-02-12 05:00:00,0.0902407,0.0902407,0.0898103,0.0898103,14560000
1981-02-13 05:00:00,0.0885212,0.0885212,0.0876618,0.0876618,11155200
1981-02-17 05:00:00,0.0898103,0.0902407,0.0898103,0.0898103,12275200
1981-02-18 05:00:00,0.0936782,0.0945376,0.0936782,0.0936782,19241600
1981-02-19 05:00:00,0.0885212,0.0885212,0.0880915,0.0880915,22310400
1981-02-20 05:00:00,0.0837946,0.0837946,0.0833649,0.0833649,24371200
1981-02-23 05:00:00,0.0846540,0.0850837,0.0846540,0.0846540,14112000
1981-02-24 05:00:00,0.0825056,0.0825056,0.0816462,0.0816462,16979200
1981-02-25 05:00:00,0.0868024,0.0872321,0.0868024,0.0868024,19488000
1981-02-26 05:00:00,0.0880915,0.0885212,0.0880915,0.0880915,10841600
1981-02-27 05:00:00,0.0911001,0.0919594,0.0911001,0.0911001,14761600
1981-03-02 05:00:00,0.0915298,0.0919594,0.0915298,0.0915298,11760000
1981-03-03 05:00:00,0.0906704,0.0906704,0.0902407,0.0902407,16172800
1981-03-04 05:00:00,0.0898102,0.0898102,0.0893805,0.0893805,13708800
1981-03-05 05:00:00,0.0893805,0.0893805,0.0889508,0.0889508,5376000
1981-03-06 05:00:00,0.0889509,0.0889509,0.0880915,0.0880915,11603200
1981-03-09 05:00:00,0.0816462,0.0816462,0.0812165,0.0812165,15321600
1981-03-10 05:00:00,0.0777782,0.0777782,0.0773485,0.0773485,28380800
1981-03-11 05:00:00,0.0752001,0.0752001,0.0743407,0.0743407,29859200
1981-03-12 05:00:00,0.0773485,0.0777782,0.0773485,0.0773485,59248000
1981-03-13 05:00:00,0.0769188,0.0769188,0.0764891,0.0764891,231302400
1981-03-16 05:00:00,0.0794978,0.0803571,0.0794978,0.0794978,37228800
1981-03-17 05:00:00,0.0833649,0.0842243,0.0833649,0.0833649,43747200
1981-03-18 05:00:00,0.0885212,0.0893805,0.0885212,0.0885212,36937600
1981-03-19 05:00:00,0.0880915,0.0880915,0.0876618,0.0876618,37811200
1981-03-20 05:00:00,0.0885212,0.0893805,0.0885212,0.0885212,14604800
1981-03-23 05:00:00,0.0919595,0.0928188,0.0919595,0.0919595,22019200
1981-03-24 05:00:00,0.0919594,0.0919594,0.0915298,0.0915298,28156800
1981-03-25 05:00:00,0.0906704,0.0906704,0.0898103,0.0898103,7056000
1981-03-26 05:00:00,0.0885212,0.0885212,0.0880915,0.0880915,12275200
1981-03-27 05:00:00,0.0855134,0.0855134,0.0850837,0.0850837,12252800
1981-03-30 05:00:00,0.0850837,0.0859431,0.0850837,0.0850837,9900800
1981-03-31 05:00:00,0.0850837,0.0850837,0.0842243,0.0842243,15993600
1981-04-01 05:00:00,0.0837946,0.0837946,0.0833649,0.0833649,34070400
1981-04-02 05:00:00,0.0906704,0.0911001,0.0906704,0.0906704,31404800
1981-04-03 05:00:00,0.0911001,0.0915298,0.0911001,0.0911001,16486400
1981-04-06 05:00:00,0.0898102,0.0898102,0.0893805,0.0893805,22803200
1981-04-07 05:00:00,0.0889508,0.0889508,0.0885212,0.0885212,10684800
1981-04-08 05:00:00,0.0928188,0.0936782,0.0928188,0.0928188,21952000
1981-04-09 05:00:00,0.0945376,0.0949673,0.0945376,0.0945376,12499200
1981-04-10 05:00:00,0.0958266,0.0962563,0.0958266,0.0958266,33465600
1981-04-13 05:00:00,0.0958266,0.0962563,0.0958266,0.0958266,16060800
1981-04-14 05:00:00,0.0958266,0.0962563,0.0958266,0.0958266,6652800
1981-04-15 05:00:00,0.0915298,0.0915298,0.0911001,0.0911001,34048000
1981-04-16 05:00:00,0.0863727,0.0863727,0.0859431,0.0859431,23878400
1981-04-20 05:00:00,0.0885212,0.0889508,0.0885212,0.0885212,35347200
1981-04-21 05:00:00,0.0945376,0.0949673,0.0945376,0.0945376,28537600
1981-04-22 05:00:00,0.0979751,0.0984048,0.0979751,0.0979751,18995200
1981-04-23 05:00:00,0.1005532,0.1009829,0.1005532,0.1005532,58016000
1981-04-24 05:00:00,0.1005532,0.1005532,0.0996939,0.0996939,35056000
1981-04-27 04:00:00,0.0992642,0.0992642,0.0988345,0.0988345,38528000
1981-04-28 04:00:00,0.0975454,0.0975454,0.0971157,0.0971157,32188800
1981-04-29 04:00:00,0.0962563,0.0962563,0.0958266,0.0958266,13641600
1981-04-30 04:00:00,0.0975454,0.0984048,0.0975454,0.0975454,12611200
1981-05-01 04:00:00,0.0975454,0.0984048,0.0975454,0.0975454,16553600
1981-05-04 04:00:00,0.0975454,0.0975454,0.0971157,0.0971157,14448000
1981-05-05 04:00:00,0.0971157,0.0971157,0.0966860,0.0966860,17539200
1981-05-06 04:00:00,0.0945376,0.0945376,0.0941079,0.0941079,18950400
1981-05-07 04:00:00,0.0953970,0.0958266,0.0953970,0.0953970,9363200
1981-05-08 04:00:00,0.0962563,0.0966860,0.0962563,0.0962563,7907200
1981-05-11 04:00:00,0.0945376,0.0945376,0.0941079,0.0941079,11939200
1981-05-12 04:00:00,0.0941079,0.0953970,0.0941079,0.0941079,4256000
1981-05-13 04:00:00,0.0941079,0.0949673,0.0936782,0.0936782,4905600
1981-05-14 04:00:00,0.0932486,0.0932486,0.0923892,0.0923892,4928000
1981-05-15 04:00:00,0.0945376,0.0958266,0.0945376,0.0945376,4905600
1981-05-18 04:00:00,0.0962563,0.0971157,0.0962563,0.0962563,4166400
